"COMUNA","BARRIO","ESCENARIO","DIRECCION","Enlace Google Maps"
"9","Luis Eduardo Vanegas","Cancha de minifutbol","Cra 1 F Calle 78","https://goo.gl/maps/QVXnYX8v3cDA5PVL7"
"9","Luis Eduardo Vanegas","Polideportivo","Cra 1 H Calle 78","https://goo.gl/maps/PzzeDFgeWe9fcEDL6"
"9","Minuto de Dios 5 etapa","Polideportivo","Cra 1 G Calle 79","https://goo.gl/maps/xZugN2W31Gpm9SBZ8"
"9","Minuto de Dios 5 etapa","Voley Playa","Cra 1 G Calle 79","https://goo.gl/maps/TzBcNcbZjqg7zyLE9"
"9","Luis Carlos Galan","Polideportivo","Cra 3 Calle 77","https://goo.gl/maps/798RypNyToQdJdPP6"
"9","Luis Carlos Galan","Polideportivo","Cra 3 Calle 79","https://goo.gl/maps/YdVybyYvnEQ4QsJs7"
"9","Santa Rosa","Polideportivo","Cll 82 # 2 - 67","https://goo.gl/maps/uJY8hfPus7VBfjrcA"
"9","Dario Echandía","Polideportivo","Cra 2 B Calle 87","https://goo.gl/maps/n3Nzh2JrdToKLUgbA"
"9","Vicente Araujo","Cancha de futbol","Cra 1 H # 80 C - 05","https://goo.gl/maps/UmuoDoMTZJorR8o37"
"9","Villa Magdalena","Polideportivo","Cra 1 Calle 91","https://goo.gl/maps/rsB3VJz2VTConKjq7"
"9","Luis Eduardo Vanegas","PARQUES BIOSALUDABLES","Calle 77 A Carrera 1 H","s/d"
"9","Luis Carlos Galán","PARQUES BIOSALUDABLES","Calle 28 A Carrera 4","s/d"
"9","Minuto de Dios","PARQUES BIOSALUDABLES","Calle 79 A Carrera 1 G","s/d"
"9","Parque Biblioteca","PARQUES BIOSALUDABLES","Carrera 8 A Calle 83","s/d"
"9","Alberto Galindo","PARQUES BIOSALUDABLES","Carrera 8 A Calle 84","s/d"
"9","Santa Rosa","PARQUES BIOSALUDABLES","Avenida 3 Calle 80","s/d"
"9","Alberto Galindo","PARQUES BIBLIOTECA","Parque Biblioteca Alberto Galindo","s/d"
"9","Barrio Minuto de Dios IV","PARQUE INFANTILES","Calle 79 A No. 16 – 45","s/d"
"9","Eduardo Santos.","PARQUE INFANTILES","Calle 86 A Carrera 6 – 07","s/d"
"9","Parque Alberto Galindo","PARQUE INFANTILES","s/d","s/d"
"9","Luis Carlos Galán.","PARQUE INFANTILES","Calle 77 con Carrera 4 A","s/d"
"9","Barrio Santa Rosa","PARQUE INFANTILES","Calle 82 con Carrera 2 Frente al CAI","s/d"
"9","Barrio Virgilio Barco","PARQUE INFANTILES","Calle 74 D con Carrera 5","s/d"
"10","Pablo VI","Polideportivo","Cra 50 Calle 24","https://goo.gl/maps/mnVmBKNsD15cpKp46"
"10","Antonio Baraya","Polideportivo","Cll 24 # 51 A – 16","https://goo.gl/maps/NdSR4niVSeKcwPQcA"
"10","Los Rosales","Polideportivo","Cra 51 Calle 23 C","https://goo.gl/maps/pR8WHDKhtZtm2Ewf9"
"10","Ciudad Salitre","Polideportivo","Cr 51 B # 22","https://goo.gl/maps/hEd7utSmnEk8hcv58"
"10","Los Colores","Polideportivo","Cra 43 calle 21 B","https://goo.gl/maps/ZzWaJqZnoM8LdeQS7"
"10","La Rioja","Polideportivo","Cr 45 B # 21","https://goo.gl/maps/Rrm5LuC44UijeMuE6"
"10","San Bernardo","Polideportivo","Cr 52 B","https://goo.gl/maps/5gahyWZorkoM8qUW9"
"10","Santander","Polideportivo","Cll 24 B # 45 – 59","https://goo.gl/maps/QexiStVc3soVoGJi8"
